subject,relation,object,subject_chunk,object_chunk,source
Air humidity,Recognizes,Mkr iot carrier rev2,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,llmaindex
Rgb light sensor,Identifies,Amount of light,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,llmaindex
Amount of light,Identifies,Rgb light sensor,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,llmaindex
Arduino Due,UTILIZES,temperature,Due-datasheet::c2,Due-datasheet::c2,simplekg
temperature,UTILIZES,Arduino Due,Due-datasheet::c2,Due-datasheet::c2,simplekg
Arduino Due,UTILIZES,humidity,Due-datasheet::c2,Due-datasheet::c2,simplekg
humidity,UTILIZES,Arduino Due,Due-datasheet::c2,Due-datasheet::c2,simplekg
Arduino Due,UTILIZES,pressure,Due-datasheet::c2,Due-datasheet::c2,simplekg
pressure,UTILIZES,Arduino Due,Due-datasheet::c2,Due-datasheet::c2,simplekg
Arduino Due,CONTROLS,autonomous mobile robot,Due-datasheet::c2,Due-datasheet::c2,simplekg
autonomous mobile robot,CONTROLS,Arduino Due,Due-datasheet::c2,Due-datasheet::c2,simplekg
Arduino Due,ENABLES,3D printing,Due-datasheet::c2,Due-datasheet::c2,simplekg
3D printing,ENABLES,Arduino Due,Due-datasheet::c2,Due-datasheet::c2,simplekg
Arduino Due,ENABLES,CNC machine,Due-datasheet::c2,Due-datasheet::c2,simplekg
CNC machine,ENABLES,Arduino Due,Due-datasheet::c2,Due-datasheet::c2,simplekg
Arduino Due,ENABLES,IoT device prototype,Due-datasheet::c2,Due-datasheet::c2,simplekg
IoT device prototype,ENABLES,Arduino Due,Due-datasheet::c2,Due-datasheet::c2,simplekg
Light controller,HAS_SENSOR,RGB light sensor,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,simplekg
RGB light sensor,HAS_SENSOR,Light controller,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,simplekg
Light controller,HAS_SENSOR,moisture sensor,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,simplekg
moisture sensor,HAS_SENSOR,Light controller,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,simplekg
Light controller,HAS_SENSOR,pressure sensor,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,simplekg
pressure sensor,HAS_SENSOR,Light controller,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,simplekg
Light controller,HAS_SENSOR,temperature sensor,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,simplekg
temperature sensor,HAS_SENSOR,Light controller,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,simplekg
Light controller,HAS_SENSOR,humidity sensor,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,simplekg
humidity sensor,HAS_SENSOR,Light controller,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,simplekg
Light controller,EVALUATES,tropical,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,simplekg
tropical,EVALUATES,Light controller,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,simplekg
Light controller,COLLECTS_DATA,RGB light sensor,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,simplekg
RGB light sensor,COLLECTS_DATA,Light controller,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,simplekg
Light controller,COLLECTS_DATA,moisture sensor,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,simplekg
moisture sensor,COLLECTS_DATA,Light controller,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,simplekg
Light controller,COLLECTS_DATA,pressure sensor,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,simplekg
pressure sensor,COLLECTS_DATA,Light controller,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,simplekg
Light controller,COLLECTS_DATA,temperature sensor,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,simplekg
temperature sensor,COLLECTS_DATA,Light controller,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,simplekg
Light controller,COLLECTS_DATA,humidity sensor,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,simplekg
humidity sensor,COLLECTS_DATA,Light controller,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,simplekg
