subject,relation,object,chunk_id,object_chunk,source
Humidity Sensor,HAS_SENSOR,Mkr Iot Carrier Rev2,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,llmagraph
Mkr Iot Carrier Rev2,MANAGED_BY,Smartphone,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,llmagraph
Smartphone,MANAGED_BY,Mkr Iot Carrier Rev2,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,llmagraph
Mkr Iot Carrier Rev2,CONNECTED_TO,Arduino Cloud,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,llmagraph
Arduino Cloud,CONNECTED_TO,Mkr Iot Carrier Rev2,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,llmagraph
Modulino Buzzer,RESPONDS_TO,I2C Commands,Modulino Buzzer-datasheet::c4,Modulino Buzzer-datasheet::c4,llmagraph
I2C Commands,RESPONDS_TO,Modulino Buzzer,Modulino Buzzer-datasheet::c4,Modulino Buzzer-datasheet::c4,llmagraph
Modulino Buzzer,INTEGRATES_WITH,Arduino Ide,Modulino Buzzer-datasheet::c4,Modulino Buzzer-datasheet::c4,llmagraph
Arduino Ide,INTEGRATES_WITH,Modulino Buzzer,Modulino Buzzer-datasheet::c4,Modulino Buzzer-datasheet::c4,llmagraph
Modulino Buzzer,INTEGRATES_WITH,3.3 V Microcontroller Environment,Modulino Buzzer-datasheet::c4,Modulino Buzzer-datasheet::c4,llmagraph
3.3 V Microcontroller Environment,INTEGRATES_WITH,Modulino Buzzer,Modulino Buzzer-datasheet::c4,Modulino Buzzer-datasheet::c4,llmagraph
Raspberry Pi Rp2040,USES,Direct Memory Access,Arduino Nano RP2040 Connect::c5,Arduino Nano RP2040 Connect::c5,llmagraph
Direct Memory Access,USES,Raspberry Pi Rp2040,Arduino Nano RP2040 Connect::c5,Arduino Nano RP2040 Connect::c5,llmagraph
Raspberry Pi Rp2040,HAS,Voltage Regulator,Arduino Nano RP2040 Connect::c5,Arduino Nano RP2040 Connect::c5,llmagraph
Voltage Regulator,HAS,Raspberry Pi Rp2040,Arduino Nano RP2040 Connect::c5,Arduino Nano RP2040 Connect::c5,llmagraph
Raspberry Pi Rp2040,INCLUDES,Arm Cortex-M0+,Arduino Nano RP2040 Connect::c5,Arduino Nano RP2040 Connect::c5,llmagraph
Arm Cortex-M0+,INCLUDES,Raspberry Pi Rp2040,Arduino Nano RP2040 Connect::c5,Arduino Nano RP2040 Connect::c5,llmagraph
Raspberry Pi Rp2040,INCLUDES,Sram,Arduino Nano RP2040 Connect::c5,Arduino Nano RP2040 Connect::c5,llmagraph
Sram,INCLUDES,Raspberry Pi Rp2040,Arduino Nano RP2040 Connect::c5,Arduino Nano RP2040 Connect::c5,llmagraph
Raspberry Pi Rp2040,INCLUDES,Memory,Arduino Nano RP2040 Connect::c5,Arduino Nano RP2040 Connect::c5,llmagraph
Memory,INCLUDES,Raspberry Pi Rp2040,Arduino Nano RP2040 Connect::c5,Arduino Nano RP2040 Connect::c5,llmagraph
Raspberry Pi Rp2040,SUPPORTS,Serial Wire Debug (Swd),Arduino Nano RP2040 Connect::c5,Arduino Nano RP2040 Connect::c5,llmagraph
Serial Wire Debug (Swd),SUPPORTS,Raspberry Pi Rp2040,Arduino Nano RP2040 Connect::c5,Arduino Nano RP2040 Connect::c5,llmagraph
Arduino Modulino Pixels,COMPLIES_WITH,Fcc Rules,Modulino Pixels::c6,Modulino Pixels::c6,llmagraph
Fcc Rules,COMPLIES_WITH,Arduino Modulino Pixels,Modulino Pixels::c6,Modulino Pixels::c6,llmagraph
Arduino Modulino Pixels,SUBJECT_TO,Arduino Modulino Pixels,Modulino Pixels::c6,Modulino Pixels::c6,llmagraph
Nano Esp32,HAS_PORT,Usb-C® Port,Arduino Nano ESP32::c7,Arduino Nano ESP32::c7,llmagraph
Usb-C® Port,HAS_PORT,Nano Esp32,Arduino Nano ESP32::c7,Arduino Nano ESP32::c7,llmagraph
Usb-C® Port,USED_FOR,Nano Esp32,Arduino Nano ESP32::c7,Arduino Nano ESP32::c7,llmagraph
Nano Esp32,USED_FOR,Usb-C® Port,Arduino Nano ESP32::c7,Arduino Nano ESP32::c7,llmagraph
Usb-C® Port,POWER_LIMIT,Nano Esp32,Arduino Nano ESP32::c7,Arduino Nano ESP32::c7,llmagraph
Nano Esp32,POWER_LIMIT,Usb-C® Port,Arduino Nano ESP32::c7,Arduino Nano ESP32::c7,llmagraph
Nora-W106-10B,SUPPORTS,Ieee 802.11,Arduino Nano ESP32::c8,Arduino Nano ESP32::c8,llmagraph
Ieee 802.11,SUPPORTS,Nora-W106-10B,Arduino Nano ESP32::c8,Arduino Nano ESP32::c8,llmagraph
Nora-W106-10B,SUPPORTS,802.11B,Arduino Nano ESP32::c8,Arduino Nano ESP32::c8,llmagraph
802.11B,SUPPORTS,Nora-W106-10B,Arduino Nano ESP32::c8,Arduino Nano ESP32::c8,llmagraph
Nora-W106-10B,SUPPORTS,802.11G,Arduino Nano ESP32::c8,Arduino Nano ESP32::c8,llmagraph
802.11G,SUPPORTS,Nora-W106-10B,Arduino Nano ESP32::c8,Arduino Nano ESP32::c8,llmagraph
Nora-W106-10B,SUPPORTS,802.11N,Arduino Nano ESP32::c8,Arduino Nano ESP32::c8,llmagraph
802.11N,SUPPORTS,Nora-W106-10B,Arduino Nano ESP32::c8,Arduino Nano ESP32::c8,llmagraph
Portenta Mid Carrier Proto Shield,HAS,Eslov Connectors,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Portenta Mid Carrier Proto Shield,HAS,Eslov Connectors,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Portenta Mid Carrier Proto Shield,HAS,Eslov Connectors,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Portenta Mid Carrier Proto Shield,HAS,Eslov Connectors,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Eslov Connectors,HAS,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Eslov Connectors,HAS,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Eslov Connectors,HAS,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Eslov Connectors,HAS,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Portenta Mid Carrier Proto Shield,HAS,Qwiic Connector,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Portenta Mid Carrier Proto Shield,HAS,Qwiic Connector,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Portenta Mid Carrier Proto Shield,HAS,Qwiic Connector,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Portenta Mid Carrier Proto Shield,HAS,Qwiic Connector,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Qwiic Connector,HAS,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Qwiic Connector,HAS,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Qwiic Connector,HAS,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Qwiic Connector,HAS,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Portenta Mid Carrier Proto Shield,IDEAL_FOR,Industrial Automation,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Portenta Mid Carrier Proto Shield,IDEAL_FOR,Industrial Automation,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Portenta Mid Carrier Proto Shield,IDEAL_FOR,Industrial Automation,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Portenta Mid Carrier Proto Shield,IDEAL_FOR,Industrial Automation,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Industrial Automation,IDEAL_FOR,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Industrial Automation,IDEAL_FOR,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Industrial Automation,IDEAL_FOR,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Industrial Automation,IDEAL_FOR,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Portenta Mid Carrier Proto Shield,IDEAL_FOR,Building Automation,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Portenta Mid Carrier Proto Shield,IDEAL_FOR,Building Automation,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Portenta Mid Carrier Proto Shield,IDEAL_FOR,Building Automation,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Portenta Mid Carrier Proto Shield,IDEAL_FOR,Building Automation,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Building Automation,IDEAL_FOR,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Building Automation,IDEAL_FOR,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Building Automation,IDEAL_FOR,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Building Automation,IDEAL_FOR,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Portenta Mid Carrier Proto Shield,IDEAL_FOR,Smart City Solutions,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Portenta Mid Carrier Proto Shield,IDEAL_FOR,Smart City Solutions,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Portenta Mid Carrier Proto Shield,IDEAL_FOR,Smart City Solutions,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Portenta Mid Carrier Proto Shield,IDEAL_FOR,Smart City Solutions,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Smart City Solutions,IDEAL_FOR,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Smart City Solutions,IDEAL_FOR,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Smart City Solutions,IDEAL_FOR,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Smart City Solutions,IDEAL_FOR,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Portenta Mid Carrier Proto Shield,INTEGRATES_WITH,Portenta,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Portenta Mid Carrier Proto Shield,INTEGRATES_WITH,Portenta,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Portenta Mid Carrier Proto Shield,INTEGRATES_WITH,Portenta,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Portenta Mid Carrier Proto Shield,INTEGRATES_WITH,Portenta,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Portenta,INTEGRATES_WITH,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Portenta,INTEGRATES_WITH,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Portenta,INTEGRATES_WITH,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Portenta,INTEGRATES_WITH,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Portenta Mid Carrier Proto Shield,INTEGRATES_WITH,Nicla Family Boards,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Portenta Mid Carrier Proto Shield,INTEGRATES_WITH,Nicla Family Boards,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Portenta Mid Carrier Proto Shield,INTEGRATES_WITH,Nicla Family Boards,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Portenta Mid Carrier Proto Shield,INTEGRATES_WITH,Nicla Family Boards,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Nicla Family Boards,INTEGRATES_WITH,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Nicla Family Boards,INTEGRATES_WITH,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Nicla Family Boards,INTEGRATES_WITH,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Nicla Family Boards,INTEGRATES_WITH,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Portenta Mid Carrier Proto Shield,INTEGRATES_WITH,Modulino®,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Portenta Mid Carrier Proto Shield,INTEGRATES_WITH,Modulino®,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Portenta Mid Carrier Proto Shield,INTEGRATES_WITH,Modulino®,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Portenta Mid Carrier Proto Shield,INTEGRATES_WITH,Modulino®,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Modulino®,INTEGRATES_WITH,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Modulino®,INTEGRATES_WITH,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Modulino®,INTEGRATES_WITH,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Modulino®,INTEGRATES_WITH,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Portenta Mid Carrier Proto Shield,INTEGRATES_WITH,Uno Shields,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Portenta Mid Carrier Proto Shield,INTEGRATES_WITH,Uno Shields,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Portenta Mid Carrier Proto Shield,INTEGRATES_WITH,Uno Shields,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Portenta Mid Carrier Proto Shield,INTEGRATES_WITH,Uno Shields,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Uno Shields,INTEGRATES_WITH,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Uno Shields,INTEGRATES_WITH,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Uno Shields,INTEGRATES_WITH,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Uno Shields,INTEGRATES_WITH,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Nicla Vision,ENABLES,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Nicla Vision,ENABLES,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Nicla Vision,ENABLES,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Nicla Vision,ENABLES,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Portenta Mid Carrier Proto Shield,ENABLES,Nicla Vision,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Portenta Mid Carrier Proto Shield,ENABLES,Nicla Vision,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Portenta Mid Carrier Proto Shield,ENABLES,Nicla Vision,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Portenta Mid Carrier Proto Shield,ENABLES,Nicla Vision,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Nicla Sense Me,ENABLES,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Nicla Sense Me,ENABLES,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Nicla Sense Me,ENABLES,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Nicla Sense Me,ENABLES,Portenta Mid Carrier Proto Shield,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Portenta Mid Carrier Proto Shield,ENABLES,Nicla Sense Me,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Portenta Mid Carrier Proto Shield,ENABLES,Nicla Sense Me,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Portenta Mid Carrier Proto Shield,ENABLES,Nicla Sense Me,Arduino Portenta Mid Carrier Proto Shield::c9,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Portenta Mid Carrier Proto Shield,ENABLES,Nicla Sense Me,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c9,llmagraph
Eslov Connectors,ENABLES,I2C Communication,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
I2C Communication,ENABLES,Eslov Connectors,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Qwiic Connector,ENABLES,I2C Communication,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
I2C Communication,ENABLES,Qwiic Connector,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
I2C Communication,CONNECTS_TO,Sensors,Arduino Portenta Mid Carrier Proto Shield::c10,Due-datasheet::c2,llmagraph
I2C Communication,CONNECTS_TO,Sensors,Arduino Portenta Mid Carrier Proto Shield::c10,Due-datasheet::c2,llmagraph
I2C Communication,CONNECTS_TO,Sensors,Arduino Portenta Mid Carrier Proto Shield::c10,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
